0000000001;001;2021-01-02;2021-01-01T12:00:00;19.99;5.99;5.99;
0000000002;002;2021-01-03;2021-01-01T13:00:00;29.99;4.99;4.99;
0000000003;003;2021-01-04;2021-01-02T13:00:00;39.99;4.99;3.99;
0000000004;001;2021-01-05;2021-01-02T13:00:00;49.99;6.99;2.99;
0000000005;002;2021-01-06;2021-01-03T14:00:00;59.99;6.99;1.99;
0000000006;003;2021-01-07;2021-01-03T14:00:00;69.99;7.99;5.99;
0000000007;001;2021-01-08;2021-01-04T14:00:00;79.99;7.99;4.99;
0000000008;002;2021-01-09;2021-01-04T16:00:00;89.99;8.99;3.99;
0000000009;003;2021-01-10;2021-01-05T16:00:00;99.99;8.99;2.99;
0000000010;001;2021-01-11;2021-01-05T16:00:00;199.99;9.99;1.99;
